premium,name,department_id,department_name,area_id,area_name,has_test,response_letter_required,salary_from,salary_to,salary_currency,salary_gross,type_id,employer_name,schedule_id,experience_id,employment_id,is_address,is_insider_interview
False,Team Lead/Senior Data Scientist,,,3,Екатеринбург,False,False,,,,,open,СКБ Контур,fullDay,moreThan6,full,True,False
False,Team Lead/Senior Data Scientist,,,2,Санкт-Петербург,False,False,,,,,open,СКБ Контур,fullDay,moreThan6,full,False,False
False,Team Lead/Senior Data Scientist,,,1,Москва,False,False,,,,,open,СКБ Контур,fullDay,moreThan6,full,False,False
False,Team Lead/Senior Data Analyst. Аналитик данных,3529-3529-prof,Сбер для экспертов,3,Екатеринбург,False,False,,,,,open,Сбербанк,fullDay,between1And3,full,False,False
False,Data scientist (NLP) - Sberbank AI Lab,3529-3529-prof,Сбер для экспертов,1,Москва,False,False,,,,,open,Сбербанк,fullDay,between1And3,full,False,False
False,Data Engineer (Information Retrieval Team),,,1002,Минск,False,False,,,,,open,IHS Global,fullDay,between3And6,full,True,False
False,Senior Data Scientist (Computer Vision),,,1002,Минск,False,False,,,,,open,IHS Global,fullDay,between3And6,full,True,False
False,Ведущий специалист по Machine learning (3D-алгоритмы),,,1,Москва,False,False,250000.0,,RUR,False,open,Адалиск,flexible,between3And6,full,True,False
False,Аналитик ИСУ (Data Analyst),3529-3529-it,Сбер. IT,26,Воронеж,False,False,,,,,open,Сбербанк,fullDay,between1And3,full,False,False
False,Аналитик данных,,,88,Казань,False,False,,,,,open,АК БАРС ДОМ,fullDay,between1And3,full,True,False
False,"Data Engineer, Global Music Company",,,26,Воронеж,False,False,,,,,open,DataArt,fullDay,between1And3,full,True,False
False,Разработчик Python / Data Scientist (NLP),,,4,Новосибирск,False,False,,,,,open,"Программный Продукт, ИТ-компания",fullDay,between1And3,full,True,False
False,Middle/Senior Data Scientist,,,2,Санкт-Петербург,False,False,,,,,open,Самокат (ООО Умный ритейл),flexible,between3And6,full,False,True
False,Аналитик данных,,,1,Москва,False,False,,,,,open,"Программный Продукт, ИТ-компания",fullDay,between1And3,full,False,False
False,Data Engineer (Транзакционный бизнес),3529-3529-prof,Сбер для экспертов,1,Москва,False,False,,,,,open,Сбербанк,fullDay,between1And3,full,False,False
False,Аналитик данных / Data scientist,,,1,Москва,False,False,,,,,open,"Программный Продукт, ИТ-компания",fullDay,between3And6,full,False,False
False,Big Data Machine Learning Algorithm Engineer,,,1,Москва,False,False,,,,,open,HUAWEI,fullDay,between3And6,full,False,False
False,Senior/Middle Data Scientist,,,3,Екатеринбург,False,False,,,,,open,Парфюмерный супермаркет Золотое Яблоко,fullDay,between3And6,full,False,False
False,Data Analyst / Аналитик по данным,,,1,Москва,False,False,,,,,open,Worldskills Russia,fullDay,between1And3,full,True,False
False,Data Engineer,,,1,Москва,False,False,,,,,open,Актион Технологии,fullDay,between1And3,full,True,False
False,Web-аналитик\аналитик данных,,,1,Москва,False,False,,,,,open,Комус,fullDay,between1And3,full,True,False
False,Technical Lead в Data Science-команду/ML Engineer,rosbank-599-opyt,"«РОСБАНК, Societe Generale Group», с опытом работы",1,Москва,False,False,,,,,open,"РОСБАНК, Societe Generale Group (Russia)",fullDay,between3And6,full,False,False
False,Аналитик/Middle Data Analyst,,,1002,Минск,False,False,,,,,open,Софтделюкс,fullDay,between1And3,full,True,False
False,Data Scientist,,,1,Москва,False,False,,,,,open,Брокеркредитсервис,fullDay,between3And6,full,True,False
False,Data Engineer,,,1,Москва,False,False,,,,,open,Брокеркредитсервис,fullDay,between3And6,full,True,False
False,Lead Computer Vision Data Scientist,3529-3529-lead,Сбер. Экспертам и руководителям,1,Москва,False,False,,,,,open,Сбербанк,fullDay,between3And6,full,True,False
False,Data Analyst / Ведущий аналитик,,,66,Нижний Новгород,False,True,,,,,open,Incrdbl Mobile Entertainment,flexible,between1And3,full,True,False
False,Аналитик данных / Data analyst,,,2,Санкт-Петербург,False,False,70000.0,,RUR,False,open,Платформа нативной рекламы LuckyAds,fullDay,between1And3,full,False,False
False,Data Engineer,,,115,Киев,False,False,,,,,open,"FOZZY GROUP, Корпорация",fullDay,between3And6,full,True,False
False,Junior Data Scientist (NLP),,,2,Санкт-Петербург,False,False,80000.0,120000.0,RUR,False,open,M-soft,remote,between1And3,part,False,False
False,Руководитель отдела разработки и внедрения AI/ML решений,,,1,Москва,False,False,,,,,open,Гринатом,fullDay,moreThan6,full,False,False
False,Scala developer/Data Engineer,,,212,Тольятти,False,False,120000.0,,RUR,False,open,Retail Rocket,fullDay,between1And3,full,True,False
False,Middle Data Scientist,,,1,Москва,False,False,,,,,open,Гринатом,fullDay,between1And3,full,False,False
False,Аналитик/Data scientist,,,2,Санкт-Петербург,False,False,,,,,open,Северный Путь,fullDay,between1And3,full,True,False
False,Data Engineer,,,2,Санкт-Петербург,False,False,,3500.0,EUR,False,open,Exness,fullDay,moreThan6,full,True,False
True,Data Scientist/Data Analyst (Product Company),,,1002,Минск,False,False,,,,,open,Profitero,fullDay,between3And6,full,True,False
False,Data Scientist (Computer Vision),,,1,Москва,False,False,200000.0,,RUR,True,open,СофтТелематика,flexible,between3And6,full,True,False
False,Machine Learning Engineer,,,1002,Минск,False,False,,,,,open,iTechArt Group,fullDay,between3And6,full,True,False
False,"Специалист по преподаванию направления ""Искусственный интеллект""",,,1641,Набережные Челны,False,False,,,,,open,"ИТ-парк, Технопарк в сфере высоких технологий",fullDay,between1And3,part,True,False
False,Senior Data scientist (NLP/NLU),,,1,Москва,False,False,,,,,open,ДомКлик,fullDay,between3And6,full,False,False
False,Data Analyst / Специалист по работе с данными,,,1,Москва,False,False,100000.0,,RUR,True,open,Перфект Системс,remote,between1And3,full,False,False
False,Data scientist,,,1,Москва,False,False,,,,,open,Корпорация ЭЛАР,fullDay,between1And3,full,True,False
False,Аналитик данных,,,1,Москва,False,False,,,,,open,ТЭК-Торг,remote,between1And3,full,True,False
False,Data Scientist / Старший специалист по машинному обучению,2343-2343-it,"Компания «СПОРТМАСТЕР», SM Lab",1,Москва,False,False,,,,,open,Спортмастер,fullDay,between1And3,full,True,False
False,"Data scientist /аналитик данных (медицина, наука, образование, социология)",,,1,Москва,False,False,120000.0,150000.0,RUR,False,open,ГК «ВИЗАВИ Консалт»,fullDay,between1And3,full,False,False
False,Big Data Engineer,,,2,Санкт-Петербург,False,False,,,,,open,Grid Dynamics,fullDay,between3And6,full,False,False
False,Аналитик данных (digital реклама),2343-2343-it,"Компания «СПОРТМАСТЕР», SM Lab",1,Москва,False,False,,,,,open,Спортмастер,fullDay,between1And3,full,False,False
False,AI/ML Engineer,,,26,Воронеж,False,False,,,,,open,Netcracker Technology Corp.,fullDay,between1And3,full,False,False
