premium,name,has_test,response_letter_required,department_id,department_name,area_id,area_name,salary_from,salary_to,salary_currency,salary_gross,type_id,employer_name,schedule_id,experience_id,employment_id,is_address,is_insider_interview,salary_from_rub,salary_to_rub,"(False, 'salary_from_rub')","(False, 'salary_to_rub')"
False,Специалист по работе с данными (Excel) / Аналитик баз данных,False,False,,,1,Москва,170000.0,170000.0,RUR,True,open,ЦУГАМ,fullDay,between1And3,full,True,False,170000.0,170000.0,170000.0,170000.0
False,Data Analyst,False,False,,,2,Санкт-Петербург,60000.0,80000.0,RUR,False,open,LoyaltyPlant,flexible,noExperience,full,False,False,60000.0,80000.0,60000.0,80000.0
False,"Аналитик по обработке данных (удалённо, проект на 3 месяца)",False,False,,,1,Москва,80000.0,80000.0,RUR,True,open,ЛУКОЙЛ,remote,noExperience,full,False,False,80000.0,80000.0,80000.0,80000.0
False,Специалист по разметке данных для машинного обучения,False,False,,,2,Санкт-Петербург,25000.0,,RUR,False,open,Корда Групп,remote,noExperience,full,True,False,25000.0,,25000.0,
False,Младший аналитик данных,False,False,,,1,Москва,,,,,open,Ростелеком - Центры обработки данных,fullDay,noExperience,full,True,False,,,,
False,Разработчик нейросетевых алгоритмов / Data Scientist,False,False,,,1,Москва,70000.0,200000.0,RUR,True,open,Федеральное автономное учреждение Государственный Научно-Исследовательский Институт Авиационных Систем,fullDay,noExperience,full,True,False,70000.0,200000.0,70000.0,200000.0
False,AI / ML специалист (стажёр),False,False,,,1,Москва,100000.0,,RUR,False,open,REVO Capital LLC,fullDay,noExperience,probation,False,False,100000.0,,100000.0,
False,Data Scientist (junior),False,False,,,66,Нижний Новгород,,,,,open,1221Системс,flexible,noExperience,full,True,False,,,,
False,Менеджер по работе с AI (искусственный интеллект),True,False,,,1,Москва,90000.0,,RUR,False,open,Контакт Перфоманс,fullDay,between1And3,full,False,False,90000.0,,90000.0,
False,Аналитик данных (IT-компания),False,False,,,1,Москва,55000.0,70000.0,RUR,False,open,DSM Group,fullDay,noExperience,full,True,False,55000.0,70000.0,55000.0,70000.0
False,Junior Data Scientist/ML Engineer,True,False,,,2,Санкт-Петербург,,,,,open,BestDoctor,fullDay,between1And3,full,False,False,,,,
