,id,premium,name,department,has_test,response_letter_required,area,salary,type,address,response_url,sort_point_distance,published_at,created_at,archived,apply_alternate_url,show_logo_in_search,insider_interview,url,alternate_url,relations,employer,snippet,contacts,schedule,working_days,working_time_intervals,working_time_modes,accept_temporary,professional_roles,accept_incomplete_resumes,experience,employment,adv_response_url,is_adv_vacancy,adv_context
0,93903428,False,Аналитик данных,,False,False,"{'id': '2760', 'name': 'Бишкек', 'url': 'https://api.hh.ru/areas/2760'}",,"{'id': 'open', 'name': 'Открытая'}",,,,2024-02-28T06:15:13+0300,2024-02-28T06:15:13+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=93903428,,,https://api.hh.ru/vacancies/93903428?host=hh.ru,https://hh.ru/vacancy/93903428,[],"{'id': '2550965', 'name': 'Оптима Банк', 'url': 'https://api.hh.ru/employers/2550965', 'alternate_url': 'https://hh.ru/employer/2550965', 'logo_urls': {'90': 'https://hhcdn.ru/employer-logo/2202463.jpeg', '240': 'https://hhcdn.ru/employer-logo/2202464.jpeg', 'original': 'https://hhcdn.ru/employer-logo-original/440124.jpg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=2550965', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Отличные коммуникативные навыки. Предпочтительно: ∙ Навыки в построении витрин <highlighttext>данных</highlighttext>. ∙ От 2-х лет опыта работы в качестве <highlighttext>Data</highlighttext> <highlighttext>Scientist</highlighttext>.', 'responsibility': 'Продуктовую <highlighttext>аналитику</highlighttext> на основе <highlighttext>данных</highlighttext>. ∙ Построение предиктивных моделей. ∙ Построение дашбордов на основе <highlighttext>аналитики</highlighttext> <highlighttext>данных</highlighttext>.'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,"[{'id': '10', 'name': 'Аналитик'}]",False,"{'id': 'between1And3', 'name': 'От 1 года до 3 лет'}","{'id': 'full', 'name': 'Полная занятость'}",,False,
1,93840912,False,Сценарист-редактор (в AI стартап),,False,False,"{'id': '2760', 'name': 'Бишкек', 'url': 'https://api.hh.ru/areas/2760'}","{'from': 40000, 'to': 70000, 'currency': 'KGS', 'gross': False}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Бишкек', 'street': 'улица Ивана Панфилова', 'building': '147/2', 'lat': 42.865497, 'lng': 74.600494, 'description': None, 'raw': 'Бишкек, улица Ивана Панфилова, 147/2', 'metro': None, 'metro_stations': [], 'id': '13390798'}",,,2024-02-27T09:02:02+0300,2024-02-27T09:02:02+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=93840912,,,https://api.hh.ru/vacancies/93840912?host=hh.ru,https://hh.ru/vacancy/93840912,[],"{'id': '9892197', 'name': 'Mystory', 'url': 'https://api.hh.ru/employers/9892197', 'alternate_url': 'https://hh.ru/employer/9892197', 'logo_urls': {'90': 'https://hhcdn.ru/employer-logo/6355214.png', 'original': 'https://hhcdn.ru/employer-logo-original/1183697.png', '240': 'https://hhcdn.ru/employer-logo/6355215.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=9892197', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Работа в Google Docs, Canva, Lark. Опыт работы в школе/ университете в качестве учителя русского языка/литературы не менее 5...', 'responsibility': 'Творческое создание сценариев в различных стилях. - Педантичная проверка и исправление ошибок. - Уложиться в дедлайн. - Смысловое соответствие (повествование).'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,"[{'id': '103', 'name': 'Режиссер, сценарист'}]",False,"{'id': 'between1And3', 'name': 'От 1 года до 3 лет'}","{'id': 'full', 'name': 'Полная занятость'}",,False,
2,90112127,False,Аналитик данных,,False,False,"{'id': '2760', 'name': 'Бишкек', 'url': 'https://api.hh.ru/areas/2760'}","{'from': 50000, 'to': 90000, 'currency': 'KGS', 'gross': False}","{'id': 'open', 'name': 'Открытая'}",,,,2024-02-13T09:18:54+0300,2024-02-13T09:18:54+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=90112127,,,https://api.hh.ru/vacancies/90112127?host=hh.ru,https://hh.ru/vacancy/90112127,[],"{'id': '8950206', 'name': 'ОсОО «ЭйчАр Лаб»', 'url': 'https://api.hh.ru/employers/8950206', 'alternate_url': 'https://hh.ru/employer/8950206', 'logo_urls': {'original': 'https://hhcdn.ru/employer-logo-original/1198574.jpeg', '90': 'https://hhcdn.ru/employer-logo/6414745.jpeg', '240': 'https://hhcdn.ru/employer-logo/6414746.jpeg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=8950206', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Высшее образование. Опыт работы в сфере маркетинга от 2-х лет. Опыт работы с данными, сводными таблицами, формулами, хорошая презентация...', 'responsibility': 'Развивать каталог (через регулярную проработку запросов и <highlighttext>данных</highlighttext>). Улучшать внутренний поиск (через проработку синонимов и подсказок на <highlighttext>данных</highlighttext>). '}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,"[{'id': '156', 'name': 'BI-аналитик, аналитик данных'}]",False,"{'id': 'between1And3', 'name': 'От 1 года до 3 лет'}","{'id': 'full', 'name': 'Полная занятость'}",,False,
3,93840861,False,Аккаунт-менеджер (в AI стартап),,False,False,"{'id': '2760', 'name': 'Бишкек', 'url': 'https://api.hh.ru/areas/2760'}",,"{'id': 'open', 'name': 'Открытая'}","{'city': 'Бишкек', 'street': 'улица Ивана Панфилова', 'building': '147/2', 'lat': 42.865497, 'lng': 74.600494, 'description': None, 'raw': 'Бишкек, улица Ивана Панфилова, 147/2', 'metro': None, 'metro_stations': [], 'id': '13390798'}",,,2024-02-27T09:01:21+0300,2024-02-27T09:01:21+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=93840861,,,https://api.hh.ru/vacancies/93840861?host=hh.ru,https://hh.ru/vacancy/93840861,[],"{'id': '9892197', 'name': 'Mystory', 'url': 'https://api.hh.ru/employers/9892197', 'alternate_url': 'https://hh.ru/employer/9892197', 'logo_urls': {'90': 'https://hhcdn.ru/employer-logo/6355214.png', 'original': 'https://hhcdn.ru/employer-logo-original/1183697.png', '240': 'https://hhcdn.ru/employer-logo/6355215.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=9892197', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Грамотная речь как в устной, так и письменной форме. Умение работать с ожиданиями и возражениями клиентов. Опыт работы с клиентами...', 'responsibility': 'Взаимодействие с клиентами, управление их запросами и потребностями. Поддержка клиентов в процессе создания персонализированных сценариев. Регулярное общение и обратная связь...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,"[{'id': '70', 'name': 'Менеджер по продажам, менеджер по работе с клиентами'}]",False,"{'id': 'between1And3', 'name': 'От 1 года до 3 лет'}","{'id': 'full', 'name': 'Полная занятость'}",,False,
4,92462446,False,Аналитик данных,,False,False,"{'id': '2760', 'name': 'Бишкек', 'url': 'https://api.hh.ru/areas/2760'}",,"{'id': 'open', 'name': 'Открытая'}","{'city': 'Бишкек', 'street': 'улица Жусупа Абдрахманова', 'building': '170/2', 'lat': 42.872924, 'lng': 74.611049, 'description': None, 'raw': 'Бишкек, улица Жусупа Абдрахманова, 170/2', 'metro': None, 'metro_stations': [], 'id': '13087605'}",,,2024-02-26T08:48:28+0300,2024-02-26T08:48:28+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=92462446,,,https://api.hh.ru/vacancies/92462446?host=hh.ru,https://hh.ru/vacancy/92462446,[],"{'id': '9677714', 'name': 'Финансовый сервис О!Деньги (ОсОО Грин Телеком Сервис)', 'url': 'https://api.hh.ru/employers/9677714', 'alternate_url': 'https://hh.ru/employer/9677714', 'logo_urls': {'original': 'https://hhcdn.ru/employer-logo-original/1083048.png', '240': 'https://hhcdn.ru/employer-logo/5952822.png', '90': 'https://hhcdn.ru/employer-logo/5952821.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=9677714', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Опыт работы с BI платформами (Tableau, Power BI и тп.). Техническое или математическое образование. Опыт в построении и презентации отчетности...', 'responsibility': '...не структурированных <highlighttext>данных</highlighttext> (СУБД, аналитические платформы и тд). Самостоятельная работа с заказчиками и пользователями отчетов. Понимание предоставляемых <highlighttext>данных</highlighttext>, умение самостоятельно...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,"[{'id': '156', 'name': 'BI-аналитик, аналитик данных'}]",False,"{'id': 'between1And3', 'name': 'От 1 года до 3 лет'}","{'id': 'full', 'name': 'Полная занятость'}",,False,
5,94130973,False,Data Engineer,,False,False,"{'id': '2760', 'name': 'Бишкек', 'url': 'https://api.hh.ru/areas/2760'}",,"{'id': 'open', 'name': 'Открытая'}","{'city': 'Бишкек', 'street': 'улица Шота Руставели', 'building': '62', 'lat': 42.840387, 'lng': 74.583516, 'description': None, 'raw': 'Бишкек, улица Шота Руставели, 62', 'metro': None, 'metro_stations': [], 'id': '2222547'}",,,2024-03-02T07:10:14+0300,2024-03-02T07:10:14+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=94130973,,,https://api.hh.ru/vacancies/94130973?host=hh.ru,https://hh.ru/vacancy/94130973,[],"{'id': '1981331', 'name': 'Банк Компаньон', 'url': 'https://api.hh.ru/employers/1981331', 'alternate_url': 'https://hh.ru/employer/1981331', 'logo_urls': {'original': 'https://hhcdn.ru/employer-logo-original/1209068.PNG', '240': 'https://hhcdn.ru/employer-logo/6456722.png', '90': 'https://hhcdn.ru/employer-logo/6456721.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=1981331', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Хороший опыт администрирования базы <highlighttext>данных</highlighttext> PostgreSQL. Хорошее знание языков T-SQL, PL/pgSQL. Хорошее знание языка Python. Опыт загрузки <highlighttext>данных</highlighttext>...', 'responsibility': 'Опыт проектирования БД для предприятия. Оптимизация БД, имеющейся в наличии. Анализ, оценка, оптимизация и контроль производительности созданного продукта. '}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,"[{'id': '40', 'name': 'Другое'}]",False,"{'id': 'between3And6', 'name': 'От 3 до 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}",,False,
6,93768549,False,"Разработчик операций AI, Python/React (Удаленно) для меняющих профессию на разработчика",,False,False,"{'id': '2760', 'name': 'Бишкек', 'url': 'https://api.hh.ru/areas/2760'}",,"{'id': 'open', 'name': 'Открытая'}",,,,2024-02-29T09:37:29+0300,2024-02-29T09:37:29+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=93768549,,,https://api.hh.ru/vacancies/93768549?host=hh.ru,https://hh.ru/vacancy/93768549,[],"{'id': '2870783', 'name': 'LATOKEN', 'url': 'https://api.hh.ru/employers/2870783', 'alternate_url': 'https://hh.ru/employer/2870783', 'logo_urls': {'original': 'https://hhcdn.ru/employer-logo-original/1057727.png', '90': 'https://hhcdn.ru/employer-logo/5851549.png', '240': 'https://hhcdn.ru/employer-logo/5851550.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=2870783', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Знание Английского, уровень - B2. Будет плюсом опыт в <highlighttext>аналитике</highlighttext>, маркетинге, sales, SMM, рекрутинге или продакт менеджменте. А так же...', 'responsibility': 'Customer Support: ваша задача помогать клиентам с помощью чата-поддержки, а затем автоматизировать его с помощью современных <highlighttext>AI</highlighttext> решений. - '}",,"{'id': 'remote', 'name': 'Удаленная работа'}",[],[],[],False,"[{'id': '96', 'name': 'Программист, разработчик'}]",False,"{'id': 'noExperience', 'name': 'Нет опыта'}","{'id': 'full', 'name': 'Полная занятость'}",,False,
7,93565938,False,Аналитик данных,,False,False,"{'id': '2760', 'name': 'Бишкек', 'url': 'https://api.hh.ru/areas/2760'}",,"{'id': 'open', 'name': 'Открытая'}","{'city': 'Бишкек', 'street': 'бульвар Молодой Гвардии', 'building': '81', 'lat': 42.882781, 'lng': 74.57685, 'description': None, 'raw': 'Бишкек, бульвар Молодой Гвардии, 81', 'metro': None, 'metro_stations': [], 'id': '14476541'}",,,2024-02-29T20:50:55+0300,2024-02-29T20:50:55+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=93565938,,,https://api.hh.ru/vacancies/93565938?host=hh.ru,https://hh.ru/vacancy/93565938,[],"{'id': '2794965', 'name': 'Интелмед', 'url': 'https://api.hh.ru/employers/2794965', 'alternate_url': 'https://hh.ru/employer/2794965', 'logo_urls': {'original': 'https://hhcdn.ru/employer-logo-original/1136006.png', '240': 'https://hhcdn.ru/employer-logo/6164610.png', '90': 'https://hhcdn.ru/employer-logo/6164609.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=2794965', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Уверенное владение T-SQL и опыт работы с базами <highlighttext>данных</highlighttext> MS SQL Server. Хорошие коммуникативные навыки и способность работать в...', 'responsibility': 'Эффективное извлечение и обработка <highlighttext>данных</highlighttext> из MS SQL Server с использованием T-SQL. Анализ бизнес-процессов лаборатории(административный сектор) для...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,"[{'id': '156', 'name': 'BI-аналитик, аналитик данных'}]",False,"{'id': 'between1And3', 'name': 'От 1 года до 3 лет'}","{'id': 'full', 'name': 'Полная занятость'}",,False,
8,93681100,False,"Продакт Разработчик Python/React, AI OPS(Удаленно)",,False,False,"{'id': '2760', 'name': 'Бишкек', 'url': 'https://api.hh.ru/areas/2760'}","{'from': 2200, 'to': 2800, 'currency': 'USD', 'gross': False}","{'id': 'open', 'name': 'Открытая'}",,,,2024-03-02T16:46:40+0300,2024-03-02T16:46:40+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=93681100,,,https://api.hh.ru/vacancies/93681100?host=hh.ru,https://hh.ru/vacancy/93681100,[],"{'id': '2870783', 'name': 'LATOKEN', 'url': 'https://api.hh.ru/employers/2870783', 'alternate_url': 'https://hh.ru/employer/2870783', 'logo_urls': {'original': 'https://hhcdn.ru/employer-logo-original/1057727.png', '90': 'https://hhcdn.ru/employer-logo/5851549.png', '240': 'https://hhcdn.ru/employer-logo/5851550.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=2870783', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Увлечение передовыми технологиями, опыт применения GPT для анализа <highlighttext>данных</highlighttext> с подключением к базам <highlighttext>данных</highlighttext>. Трудолюбие и способность работать под давлением...', 'responsibility': 'Разработке сервисов <highlighttext>аналитики</highlighttext> <highlighttext>данных</highlighttext> с применением GPT, исследование и тестирование Code Interpreter, AutoGPT, Langchain и пр. Работе над внутренней платформой...'}",,"{'id': 'remote', 'name': 'Удаленная работа'}",[],[],[],False,"[{'id': '96', 'name': 'Программист, разработчик'}]",False,"{'id': 'between3And6', 'name': 'От 3 до 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}",,False,
9,93680709,False,Data Engineer AI (удаленно),,False,False,"{'id': '2760', 'name': 'Бишкек', 'url': 'https://api.hh.ru/areas/2760'}","{'from': 2200, 'to': 3400, 'currency': 'USD', 'gross': False}","{'id': 'open', 'name': 'Открытая'}",,,,2024-03-02T16:36:50+0300,2024-03-02T16:36:50+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=93680709,,,https://api.hh.ru/vacancies/93680709?host=hh.ru,https://hh.ru/vacancy/93680709,[],"{'id': '2870783', 'name': 'LATOKEN', 'url': 'https://api.hh.ru/employers/2870783', 'alternate_url': 'https://hh.ru/employer/2870783', 'logo_urls': {'original': 'https://hhcdn.ru/employer-logo-original/1057727.png', '90': 'https://hhcdn.ru/employer-logo/5851549.png', '240': 'https://hhcdn.ru/employer-logo/5851550.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=2870783', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Опыт настройки базы <highlighttext>данных</highlighttext> в архитектуре с высокой доступностью и ее оптимизации. Опыт автоматизации загрузки <highlighttext>данных</highlighttext> из различных источников (CRM...', 'responsibility': 'Описание проектов и их новостей с помощью <highlighttext>AI</highlighttext>. Создание интерфейса для взаимодействия с базами <highlighttext>данных</highlighttext> и репозиториями кода для сотрудников...'}",,"{'id': 'remote', 'name': 'Удаленная работа'}",[],[],[],False,"[{'id': '96', 'name': 'Программист, разработчик'}]",False,"{'id': 'between3And6', 'name': 'От 3 до 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}",,False,
